KEGG_Pathway	CTU_ABQ_Rm_LE	CTU_ABR_Rm_LE	CTU_ABX_Rm_LE	CTU_ABZ_Rp_LE	CTU_ACA_Rp_LE	CTU_ACB_Rp_LE	CTU_ACC_Rp_LE	CTU_ACE_Rp_LE	CTU_ACG_Rp_LE	AL_Rm_LE	AM_Rm_LE	AN_Rm_LE	AS_Rp_LE	AT_Rp_LE	AU_Rp_LE	AV_Rp_LE	AW_Rp_LE	BK_Rm_LE	BL_Rm_LE	BM_Rm_LE	BN_Rm_LE	BO_Rm_LE	BP_Rm_LE	BQ_Rm_LE	BRZ_GK_Rm_Control	BRZ_GL_Rp_Control	BRZ_GN_Rm_Control	BRZ_GP_Rp_Control	BRZ_GS_Rm_Control	BRZ_GT_Rp_Control	BRZ_HA_Rm_Control	BRZ_HB_Rp_Control	BRZ_HE_Rm_Control	BRZ_HF_Rp_Control	BRZ_HI_Rm_Control	BRZ_HK_Rp_Control	BRZ_HN_Rm_Control	BRZ_HP_Rp_Control	BRZ_HS_Rm_Control	BRZ_HT_Rp_Control	BRZ_IB_Rm_Control	BRZ_IC_Rp_Control	BRZ_IF_Rm_Control	BRZ_IG_Rp_Control	BX_Rp_LE	BY_Rp_LE	BZ_Rp_LE	sum
ko04622	192	258	586	411	249	249	220	195	450	248	935	222	275	252	383	417	458	574	486	448	565	301	614	1126	716	820	1094	875	1328	898	355	1315	560	388	895	741	723	1489	2241	1121	1116	2402	1005	630	197	509	701	32233
ko04623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	3	2	4	0	1	0	0	0	19
ko04624	1	1	1	0	0	0	0	0	0	1	0	5	0	0	0	0	0	1	2	1	0	1	8	4	0	0	0	1	1	1	1	1	0	1	0	36	1	1	0	3	2	4	0	1	0	0	0	80
ko04626	51060	41563	47260	47102	30711	43403	46714	34671	44128	39312	45758	45693	42218	36376	39558	45476	46406	53556	37489	36688	45635	40860	44410	45592	61453	134244	87618	87345	140754	85906	96566	95889	74316	98961	128852	157839	78422	141134	133618	164664	156278	147951	100793	73868	32436	55074	42552	3408172
ko04640	67	3	83	37	149	29	99	92	202	14	97	40	242	26	216	31	216	50	20	31	8	77	96	296	673	1072	461	2117	922	1378	492	3874	430	383	1093	1231	307	2834	582	2815	1851	3890	474	2947	92	33	50	32222
ko04657	16066	13499	16984	17082	9874	14400	14076	10597	13977	15796	17904	16999	15951	14067	15250	19304	18151	21601	14969	13378	16790	16194	17765	19424	24210	46213	35316	32367	51817	29407	35367	36621	26935	34196	46953	61834	27892	53396	51689	62128	58797	62783	35742	25859	13645	21073	18721	1273059
ko04658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	3	2	4	0	1	0	0	0	19
ko04659	16066	13499	16984	17082	9874	14400	14076	10597	13977	15796	17904	16999	15951	14067	15250	19304	18151	21601	14969	13378	16790	16194	17765	19424	24210	46199	32760	32366	51813	29339	35366	36621	26878	34193	46759	61834	27892	53394	51366	62112	58797	62783	35742	25857	13645	21073	18721	1269818
ko04660	13	6	6	45	3	27	0	6	0	3	5	14	3	18	1	36	2	15	16	4	2	19	1	37	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	3	2	4	0	1	21	3	22	347
ko04662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	3	2	4	0	1	0	0	0	19
